SMILES,ReadyBiodegradability,Reliability
Br/C=C/c1ccccc1,0,Sdf
Br/C=C\Br,0,Sdf
Br/C=C\c1ccccc1,0,Sdf
BrC(Br)Br,0,Sdf
BrC(Br)C(Br)Br,0,Sdf
BrC(Br)c1ccccc1OCC1CO1,0,Sdf
BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,0,Sdf
BrC1CCC(Br)C(Br)CCC1Br,0,Sdf
BrCC(CBr)(CBr)CBr,0,Sdf
BrCCBr,0,Sdf
BrCCCBr,0,Sdf
BrCCCCBr,0,Sdf
BrCCCCCCBr,0,Sdf
BrCCCCCCCCCCBr,0,Sdf
Brc1c(-c2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c(Br)c(Br)c1Br,0,Sdf
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,0,Sdf
Brc1c(CCc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c(Br)c(Br)c1Br,0,Sdf
Brc1c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c(Br)c(Br)c1Br,0,Sdf
Brc1cc(Br)c(cc1)Oc1cc(Br)c(Br)cc1Br,0,Sdf
Brc1cc(Br)cc(Br)c1,0,Sdf
Brc1cc(Oc2ccc(Br)c(Br)c2Br)c(Br)c(Br)c1,0,Sdf
Brc1cc(ccc1)Oc1ccc(Br)c(Br)c1Br,0,Sdf
Brc1ccc(-c2ccc(Br)c(Br)c2Br)c(Br)c1Br,0,Sdf
Brc1ccc(Br)cc1,0,Sdf
Brc1ccc(cc1)-c1ccc(Br)cc1,0,Sdf
Brc1ccccc1,0,Sdf
C,0,Sdf
C#C,0,Sdf
C#CC1(CCCCC1)OC(N)=O,1,Sdf
C#CCCOC1CCCCO1,1,Sdf
C#CCO,1,Sdf
C(C1CO1)N(CC1CO1)c1ccc(cc1)OCC1CO1,0,Sdf
C(C1CO1)N(CC1CO1)c1ccccc1,0,Sdf
C(CCc1ccccc1)c1cc[n]cc1,0,Sdf
C(Cc1ccccc1)c1ccccc1,1,Sdf
C(OCCCCOCC1CO1)C1CO1,0,Sdf
C(OCc1ccccc1)c1ccccc1,0,Sdf
C(OP(OCc1ccccc1)OCc1ccccc1)c1ccccc1,1,Sdf
C(Oc1cc2ccccc2cc1)c1ccccc1,0,Sdf
C(Oc1ccc(cc1)C(C(c1ccc(cc1)OCC1CO1)c1ccc(cc1)OCC1CO1)c1ccc(cc1)OCC1CO1)C1CO1,0,Sdf
C(Oc1ccccc1)C1CO1,0,Sdf
C(c1ccc(cc1)N(CC1CO1)CC1CO1)c1ccc(cc1)N(CC1CO1)CC1CO1,0,Sdf
C(c1ccccc1)N1CCN(Cc2ccccc2)CCN(Cc2ccccc2)CCN(Cc2ccccc2)CC1,0,Sdf
C(c1ccccc1)c1ccccc1,0,Sdf
C/C(/C=O)=C\CC,1,Sdf
C/C(/CC(=O)OC)=N/C(c1ccc(O)cc1)C(O)=O,1,Sdf
C/C(/CC(C)C)=C\C=C\C(C)=O,0,Sdf
C/C(=C\C(C)C)/C(C)OC(C)(C)COC(=O)C1CC1,0,Sdf
C/C=C/C(O)=O,1,Sdf
C/C=C/C/C=C/C/C=C/CC=C,0,Sdf
C/C=C/C=C/C(O)=O,1,Sdf
C/C=C/C=C/C(O)=O,1,Sdf
C/C=C/CC#N,1,Sdf
C/C=C/c1ccc(cc1)OC,1,Sdf
C/C=C1\CC2CC\1C=C2,0,Sdf
C/C=C\C(=O)Oc1c(cc(cc1C(C)CCCCCC)[N+]([O-])=O)[N+]([O-])=O,0,Sdf
C/C=N\C=O,0,Sdf
C/N=C(\N)/N[N+]([O-])=O,0,Sdf
C1C2CC3CC1CC(C2)C3,0,Sdf
C1C2OC2CCC1C1CO1,0,Sdf
C1C=CC2C3CC(C=C3)C21,0,Sdf
C1C=CCC2C=CCC21,0,Sdf
C1C=CCCC1c1ccc(cc1)C1CCCC=C1,0,Sdf
C1C=CCCC1c1ccccc1,1,Sdf
"C1CC=CCCC=CCCC=C1 |c:2,6,10|",0,Sdf
C1CCC(N1)c1c[n]ccc1,0,Sdf
C1CCC=C1,1,Sdf
C1CCCC2CCCCC21,0,Sdf
C1CCCC=C1,1,Sdf
C1CCCCC1N(Sc1[n]c2ccccc2[s]1)C1CCCCC1,0,Sdf
